filename,d(ebr),t(ebr),d(ebe),t(ebe),d(ebm),t(ebm),d(efr),t(efr),d(efe),t(efe),d(efm),t(efm),d(sbr),t(sbr),d(sbe),t(sbe),d(sbm),t(sbm),d(sfr),t(sfr),d(sfe),t(sfe),d(sfm),t(sfm),d(ibr),t(ibr),d(ibe),t(ibe),d(ibm),t(ibm),d(ifr),t(ifr),d(ife),t(ife),d(ifm),t(ifm)
wt_100_prime_01.txt,91.20,10.64,38.94,6.76,46.22,1.41,97.48,4.84,36.10,4.73,46.22,1.15,0.88,338.87,1.48,242.44,0.13,230.25,0.66,3308.21,1.79,2304.96,0.66,1743.49,61.47,31.56,38.33,39.44,40.09,28.73,58.93,200.47,36.10,139.30,42.79,48.45
wt_100_prime_02.txt,84.16,7.07,40.30,3.46,43.78,1.74,92.58,5.04,34.41,3.24,43.78,1.54,0.24,269.63,1.00,239.82,0.22,204.18,0.66,2659.90,1.03,2095.75,1.50,1674.61,37.06,29.55,40.30,22.61,43.40,19.42,42.88,201.81,34.41,103.93,43.27,52.40
wt_100_prime_03.txt,71.89,5.51,37.68,4.96,35.48,1.05,103.27,4.66,33.59,4.38,35.48,0.94,1.21,298.55,1.16,259.69,0.16,184.31,2.13,2769.32,2.63,2569.15,2.63,1718.42,71.87,44.45,35.96,42.69,35.15,16.06,51.05,162.05,33.59,124.93,35.15,32.30
wt_100_prime_04.txt,63.60,5.41,43.38,5.02,45.18,1.63,90.16,3.93,40.50,4.58,45.18,1.55,0.80,258.34,0.61,204.72,0.46,172.07,1.85,2610.62,2.11,2755.59,2.07,2052.16,58.29,33.24,53.59,31.09,40.58,31.91,56.05,181.43,40.58,130.53,41.07,60.02
wt_100_prime_05.txt,97.74,4.59,24.27,6.33,23.18,1.30,59.76,5.02,21.32,5.41,23.18,1.23,2.53,285.49,0.55,210.65,0.15,211.07,3.01,3397.18,3.01,2797.50,2.77,1507.73,57.07,38.64,19.45,56.35,21.64,20.66,52.80,138.92,21.61,148.32,21.64,42.60
wt_100_prime_06.txt,150.15,6.94,45.37,3.28,52.46,0.98,174.83,5.67,39.71,3.02,52.46,0.87,1.64,283.92,0.83,270.65,1.15,171.58,8.99,2184.06,5.73,1533.45,2.88,945.49,127.59,38.36,49.69,35.86,48.06,28.38,62.20,205.44,39.70,85.52,48.06,34.00
wt_100_prime_07.txt,214.42,5.24,38.71,4.50,51.49,0.73,200.48,4.37,30.85,3.97,51.49,0.68,3.07,308.26,2.84,253.91,1.86,185.98,5.31,2575.24,5.51,1826.61,4.68,1231.32,62.30,53.58,36.75,39.47,41.07,30.17,68.86,194.08,30.92,119.00,42.13,33.14
wt_100_prime_08.txt,190.61,6.28,19.44,3.62,36.07,0.65,216.79,4.80,12.85,3.60,36.07,0.67,5.06,346.15,1.81,243.96,1.48,161.96,7.20,1779.87,4.80,1367.76,3.47,630.33,95.59,35.52,25.50,31.69,22.96,24.14,99.63,210.53,12.09,109.99,18.31,43.50
wt_100_prime_09.txt,185.28,4.02,66.04,3.66,55.80,0.93,167.75,5.48,36.88,3.60,55.80,0.96,2.14,315.72,2.41,227.31,0.34,182.05,2.45,2208.14,2.45,1609.81,3.10,1164.06,99.91,41.02,62.21,43.17,52.63,20.38,35.26,207.62,36.88,108.64,52.59,35.50
wt_100_prime_10.txt,219.78,4.64,47.93,3.91,47.18,0.99,96.55,4.22,32.71,3.64,47.18,0.96,3.40,278.65,1.86,239.05,0.19,167.30,1.68,1918.31,4.93,1533.15,2.12,1157.11,100.83,45.52,43.69,42.63,46.53,17.50,67.76,185.72,34.50,109.92,46.47,31.54
wt_100_prime_11.txt,638.46,5.60,27.21,1.14,47.01,0.30,494.62,5.41,21.37,1.00,46.90,0.28,8.26,393.53,0.00,135.46,0.00,88.33,8.18,1920.36,5.00,529.51,0.00,526.68,302.21,43.89,27.04,12.46,46.97,6.18,220.10,220.07,21.37,34.45,35.37,16.18
wt_100_prime_12.txt,364.44,5.54,69.23,3.18,51.86,0.44,390.58,4.12,10.53,3.36,51.86,0.36,5.51,411.59,9.30,260.40,1.86,208.02,8.87,2286.82,6.49,1502.29,0.45,959.54,155.29,54.63,55.80,47.71,50.46,12.19,93.92,242.46,8.62,94.94,42.32,22.00
wt_100_prime_13.txt,286.91,3.90,43.38,2.73,48.34,0.48,325.73,4.55,29.46,2.47,48.34,0.42,3.18,317.35,3.35,213.24,0.45,138.36,2.46,1792.86,2.39,1010.19,2.74,571.89,144.54,58.14,61.59,31.24,48.44,7.46,101.18,169.40,29.46,78.83,42.32,17.46
wt_100_prime_14.txt,434.51,4.17,67.78,1.99,63.19,0.37,481.85,4.15,41.08,1.87,63.19,0.34,9.65,294.88,3.73,203.88,0.66,151.27,7.31,1901.93,11.32,861.74,3.32,515.84,194.81,53.46,66.49,29.84,58.81,9.69,131.66,217.55,41.08,65.42,57.74,18.14
wt_100_prime_15.txt,465.45,5.86,27.15,1.49,36.36,0.35,479.70,4.31,13.88,1.39,36.36,0.30,5.04,305.33,1.53,190.75,0.62,170.17,8.56,1716.88,13.55,624.26,0.33,443.07,146.41,61.39,33.28,17.64,30.95,9.96,105.50,175.40,14.00,49.00,30.95,12.95
wt_100_prime_16.txt,381.42,8.13,80.57,1.98,82.70,0.33,375.08,5.35,39.43,2.05,82.70,0.26,5.67,355.99,9.49,185.47,1.85,159.40,8.46,1629.61,10.63,976.81,6.97,453.75,170.09,47.04,59.69,33.76,75.09,13.59,110.58,242.78,39.43,63.37,77.78,11.89
wt_100_prime_17.txt,650.63,6.98,83.54,1.69,100.14,0.15,425.73,5.30,46.46,1.90,100.14,0.13,18.80,277.24,13.49,143.10,0.00,145.77,5.70,1639.30,1.37,674.20,1.14,463.41,123.02,49.08,76.64,21.31,85.51,10.28,162.92,215.81,46.47,58.02,73.42,17.80
wt_100_prime_18.txt,919.82,5.48,49.20,1.19,25.36,0.25,851.86,4.09,16.11,1.12,25.36,0.18,24.68,351.04,6.00,114.34,5.93,66.44,27.29,1716.33,14.65,480.31,3.37,281.45,253.02,77.05,30.58,20.12,25.13,6.77,108.53,270.41,16.02,39.13,25.13,6.70
wt_100_prime_19.txt,1329.71,5.68,45.39,0.66,49.64,0.12,1273.12,3.98,26.77,0.70,49.64,0.11,14.07,417.46,1.16,126.13,2.15,69.58,3.30,1600.41,14.18,405.53,14.18,190.11,463.66,49.68,39.51,11.98,33.78,6.40,238.07,238.51,26.77,25.84,27.84,13.98
wt_100_prime_20.txt,1160.24,7.60,59.03,0.88,71.84,0.12,969.00,4.05,28.73,0.93,71.84,0.10,25.10,353.23,5.77,114.86,1.48,66.51,24.72,1481.62,22.35,330.27,0.79,266.83,341.47,73.99,68.60,12.26,46.41,8.00,208.64,231.68,28.73,32.36,43.01,13.24
wt_100_prime_21.txt,943.75,5.24,75.80,1.00,43.27,0.22,998.34,3.90,27.60,0.86,43.27,0.11,21.04,480.70,13.60,180.57,0.76,156.38,13.02,1711.44,2.84,457.48,4.23,235.53,184.58,63.60,59.59,27.87,35.29,10.30,160.91,251.70,27.51,27.39,35.29,4.51
wt_100_prime_22.txt,1096.28,10.36,65.18,1.01,75.49,0.12,1237.00,5.45,30.32,0.47,75.49,0.07,33.00,548.95,10.45,174.14,0.05,125.72,4.87,1351.42,0.00,429.92,0.00,149.43,287.46,59.53,57.34,21.09,75.49,4.63,179.32,226.24,30.32,6.96,75.49,1.33
wt_100_prime_23.txt,3685.71,5.03,68.56,0.55,74.56,0.14,2686.52,4.33,59.13,0.41,74.56,0.11,71.75,453.48,9.71,90.10,3.90,104.32,0.50,1712.97,7.42,195.91,0.59,196.95,916.54,85.01,88.36,11.33,74.56,4.53,769.47,235.86,59.13,13.04,74.56,3.48
wt_100_prime_24.txt,1681.29,4.91,61.04,0.75,48.09,0.15,1118.21,5.31,13.29,0.55,48.09,0.13,24.06,572.61,15.62,142.11,2.77,112.95,19.64,1619.63,9.49,396.76,4.33,198.65,595.81,90.45,38.15,22.35,32.69,7.30,219.04,234.92,15.57,13.57,31.02,5.92
wt_100_prime_25.txt,776.39,7.71,56.09,0.71,64.53,0.15,714.70,5.89,25.99,0.70,64.53,0.08,25.05,588.41,13.66,174.51,1.38,91.56,5.98,1827.97,2.63,561.11,0.06,236.49,237.96,92.45,39.80,15.23,50.23,8.89,111.95,246.72,25.99,17.90,43.70,6.80
