filename,d(vresi),t(vresi),d(vmesi),t(vmesi),d(vreis),t(vreis),d(vmeis),t(vmeis),d(presi),t(presi),d(pmesi),t(pmesi),d(preis),t(preis),d(pmeis),t(pmeis)
wt_100_prime_01.txt,0.57,113.19,1.40,65.37,0.86,115.78,0.76,70.11,0.01,286.35,0.25,234.51,0.35,372.11,0.43,263.39
wt_100_prime_02.txt,0.99,77.84,0.99,95.65,0.57,104.36,0.96,92.52,0.00,239.54,0.57,219.60,0.50,277.43,0.70,202.24
wt_100_prime_03.txt,0.55,102.51,0.55,47.69,0.53,86.13,0.49,53.07,0.92,240.07,0.16,199.68,0.84,291.57,0.16,193.96
wt_100_prime_04.txt,0.42,93.31,1.15,53.13,0.41,99.63,1.09,65.16,0.41,247.87,0.00,215.91,0.42,263.56,0.00,246.80
wt_100_prime_05.txt,0.25,104.31,0.22,51.79,0.14,96.46,0.09,48.33,0.69,265.15,0.04,196.90,0.55,279.44,0.22,219.49
wt_100_prime_06.txt,1.34,112.41,2.07,70.34,1.81,81.79,2.07,68.79,2.98,350.66,1.14,202.17,2.62,296.31,1.55,244.94
wt_100_prime_07.txt,1.63,143.43,1.25,66.88,2.99,107.89,1.60,64.44,1.16,299.95,0.78,168.85,2.06,323.65,0.27,199.13
wt_100_prime_08.txt,6.06,127.74,1.48,42.44,1.88,139.44,0.00,48.22,2.84,306.09,0.07,187.66,2.87,306.07,1.62,172.32
wt_100_prime_09.txt,2.19,107.01,1.30,66.97,3.09,81.16,1.30,61.96,1.21,320.13,1.30,192.23,1.00,265.14,1.30,195.44
wt_100_prime_10.txt,0.64,145.99,0.29,62.11,2.39,94.38,0.13,84.95,2.66,287.69,0.32,214.22,0.48,328.68,0.13,196.22
wt_100_prime_11.txt,2.47,164.89,0.00,41.90,2.47,116.64,0.00,31.26,2.47,291.86,0.00,115.62,1.67,293.25,0.00,113.86
wt_100_prime_12.txt,12.52,165.11,0.76,90.03,10.38,157.73,1.04,109.39,18.55,348.15,0.56,190.60,6.98,362.19,1.31,185.53
wt_100_prime_13.txt,1.86,129.36,0.45,57.20,1.86,98.12,0.00,61.76,2.94,224.96,0.00,134.33,1.72,213.63,0.00,126.07
wt_100_prime_14.txt,8.37,150.60,0.48,65.42,3.05,93.97,0.48,61.28,3.58,325.23,2.36,132.85,4.28,192.95,0.48,155.67
wt_100_prime_15.txt,0.93,132.38,0.62,73.90,1.94,111.03,0.00,61.48,3.60,246.76,0.81,139.23,4.34,279.28,0.25,103.07
wt_100_prime_16.txt,3.62,163.75,0.00,111.99,7.16,136.01,0.50,104.12,3.94,286.17,1.85,164.80,0.08,279.47,1.85,168.20
wt_100_prime_17.txt,6.55,140.73,0.00,69.05,4.32,137.32,0.00,58.03,5.77,273.16,0.25,136.17,10.10,253.70,0.25,137.96
wt_100_prime_18.txt,16.39,187.51,0.73,34.13,22.87,134.31,5.93,41.16,20.71,266.31,5.35,91.20,4.27,263.77,5.93,83.78
wt_100_prime_19.txt,21.61,195.22,2.15,32.36,5.14,134.28,2.17,36.22,14.36,276.25,2.15,60.22,15.50,227.64,1.45,92.30
wt_100_prime_20.txt,7.72,146.79,0.42,70.52,23.60,105.69,0.00,49.02,8.39,334.03,0.79,87.26,4.34,246.34,0.37,101.25
wt_100_prime_21.txt,28.44,256.61,0.92,81.56,13.48,179.27,1.96,86.51,17.75,408.38,0.76,147.73,15.68,340.26,0.92,146.68
wt_100_prime_22.txt,20.03,259.14,0.00,71.83,14.31,188.10,0.00,78.72,14.71,552.02,0.29,97.55,9.01,329.34,0.29,94.91
wt_100_prime_23.txt,11.73,237.14,2.86,29.31,79.11,231.24,2.86,32.09,81.01,378.35,2.86,140.84,61.52,306.07,2.86,133.96
wt_100_prime_24.txt,16.72,272.22,0.70,68.13,35.68,186.75,1.12,58.55,25.75,541.53,1.76,128.59,21.89,409.42,2.19,118.46
wt_100_prime_25.txt,10.97,256.06,2.10,77.91,15.49,208.75,0.06,89.89,39.21,414.34,2.02,127.50,29.40,340.20,0.06,133.89
