filename,d(vresi),t(vresi),d(vmesi),t(vmesi),d(vreis),t(vreis),d(vmeis),t(vmeis),d(presi),t(presi),d(pmesi),t(pmesi),d(preis),t(preis),d(pmeis),t(pmeis)
wt_100_001.txt,4.43,75.83,0.00,41.03,5.95,42.06,0.00,45.18,1.49,104.57,0.00,58.19,12.94,67.32,0.00,58.90
wt_100_002.txt,0.78,37.63,2.87,27.71,10.89,46.46,2.87,25.59,0.19,107.27,3.95,36.06,0.19,97.45,3.95,36.53
wt_100_003.txt,5.30,52.02,5.27,27.86,5.30,42.41,5.27,29.70,0.00,91.65,1.62,63.87,0.00,85.19,1.62,63.80
wt_100_004.txt,11.28,50.68,2.77,37.14,2.77,49.04,2.77,39.89,0.00,98.44,10.36,58.93,12.23,89.21,4.97,49.05
wt_100_005.txt,0.00,65.95,3.73,37.64,0.00,70.46,2.21,45.40,0.00,114.55,0.00,67.44,0.00,87.22,0.00,80.00
wt_100_006.txt,0.48,77.23,1.73,43.19,3.53,110.21,1.73,44.49,0.13,216.93,1.73,158.66,0.13,230.73,0.48,163.57
wt_100_007.txt,2.76,100.91,1.27,79.51,1.27,117.73,1.27,86.26,0.09,180.13,1.27,197.07,1.00,216.36,1.27,209.26
wt_100_008.txt,1.37,98.41,1.37,103.12,0.67,86.72,1.37,106.46,1.37,269.28,0.77,221.84,0.00,215.39,1.32,192.94
wt_100_009.txt,0.07,100.96,2.33,69.17,2.21,82.92,1.09,82.51,0.22,207.53,0.21,173.86,0.09,241.47,0.21,221.93
wt_100_010.txt,2.95,83.81,1.61,68.96,2.26,97.57,3.75,71.02,0.20,235.01,0.25,189.47,0.88,245.23,0.25,166.79
wt_100_011.txt,0.47,88.04,0.41,80.45,0.94,97.77,0.41,78.62,1.03,329.87,0.18,284.83,0.19,347.94,1.15,292.00
wt_100_012.txt,0.06,120.45,1.10,59.05,1.30,160.57,1.10,77.71,0.72,402.27,0.41,264.03,0.15,365.45,0.00,333.12
wt_100_013.txt,0.23,123.88,0.76,95.63,0.81,104.21,0.87,90.31,0.25,381.95,0.21,341.22,0.27,395.92,0.21,365.48
wt_100_014.txt,0.43,140.69,0.29,95.48,2.90,83.17,0.08,109.09,0.64,326.55,0.00,343.19,0.04,312.82,0.18,359.03
wt_100_015.txt,0.68,108.56,1.17,71.90,0.32,87.37,1.22,97.95,1.15,337.48,0.09,267.67,0.01,343.59,0.09,248.91
wt_100_016.txt,0.20,119.33,0.65,73.50,0.77,93.56,0.39,87.70,0.18,538.16,0.30,448.00,0.25,359.54,0.46,451.45
wt_100_017.txt,0.77,118.29,0.64,62.86,0.35,127.03,0.67,66.57,0.28,514.32,0.68,390.11,0.44,488.12,0.68,407.64
wt_100_018.txt,0.30,115.03,0.97,77.35,0.28,118.20,0.28,115.69,0.34,531.49,0.52,556.15,0.30,421.02,0.28,670.33
wt_100_019.txt,0.06,185.74,0.21,66.62,0.29,84.72,0.19,80.79,0.10,453.76,0.13,307.81,0.13,408.75,0.13,331.28
wt_100_020.txt,0.27,147.14,1.56,76.04,0.32,124.47,0.65,101.12,0.14,500.87,1.09,447.64,0.04,390.86,1.09,444.68
wt_100_021.txt,0.00,64.88,0.00,41.58,0.00,41.46,0.00,32.03,0.00,246.88,0.00,401.28,0.02,151.68,0.00,170.24
wt_100_022.txt,0.00,101.01,0.02,85.12,0.00,47.79,0.02,82.17,0.00,286.63,0.00,478.52,0.00,173.00,0.02,426.50
wt_100_023.txt,0.14,90.71,0.01,65.93,0.14,67.19,0.14,58.11,0.01,475.09,0.02,320.40,0.00,209.85,0.02,314.37
wt_100_024.txt,0.00,106.97,0.00,62.50,0.00,49.06,0.00,50.48,0.00,304.01,0.00,378.65,0.00,78.06,0.01,283.25
wt_100_025.txt,0.00,110.27,0.06,56.86,0.01,50.12,0.01,55.09,0.00,401.32,0.01,345.75,0.00,92.94,0.01,238.02
wt_100_026.txt,300.00,48.89,0.00,4.96,0.00,45.09,0.00,5.29,0.00,78.77,0.00,5.09,300.00,51.47,0.00,4.88
wt_100_027.txt,19.64,47.39,0.00,18.68,42.48,58.60,0.00,15.14,42.48,66.56,0.00,23.35,29.39,70.21,0.00,20.13
wt_100_028.txt,455.56,38.65,0.00,4.84,551.85,29.64,0.00,4.86,266.67,86.67,0.00,5.10,0.00,62.28,0.00,5.10
wt_100_029.txt,58.96,52.89,0.00,9.44,15.42,46.97,0.00,9.95,15.42,63.76,0.00,18.25,67.92,87.56,0.00,20.84
wt_100_030.txt,0.00,67.33,0.00,4.92,0.00,51.14,0.00,4.88,0.00,55.34,0.00,5.08,0.00,57.74,0.00,5.08
wt_100_031.txt,0.63,86.62,0.26,64.43,0.17,68.77,1.04,67.01,2.81,157.34,0.00,116.39,0.41,184.41,0.68,122.98
wt_100_032.txt,23.32,95.92,2.28,37.52,8.65,94.24,2.28,35.90,2.26,232.97,3.58,98.93,3.84,217.35,3.58,102.16
wt_100_033.txt,1.30,102.19,0.35,92.74,11.01,123.30,0.68,97.00,1.62,218.38,0.20,175.89,1.00,209.15,3.34,211.32
